Breuil-Romain,Champagne-Ardenne,49.30853439,3.7660401
Bréval,Ile de France,48.94412676,1.54302155
Briançon,Provence-Alpes-CA,44.88961363,6.63262722
Briare,Centre,47.64649708,2.73369884
Brignac,Limousin,45.86287764,1.44174954
Brignais,Rhône-Alpes,45.67353849,4.76352032
Brignoud,Rhône-Alpes,45.26258551,5.90133653
Brimeux,Nord Pas de Calais,50.44687198,1.83174097
Brion-Laizy,Bourgogne,46.90851583,4.20678995
Brion-Montréal-la-Cluse,Rhône-Alpes,46.17597919,5.5588583
Brionne (Eure),Haute-Normandie,49.19634676,0.71156705
Brion-près-Thouet,Poitou-Charentes,47.048721,-0.18490141
Brioude,Auvergne,45.30069246,3.37894908
Briouze,Basse-Normandie,48.70200341,-0.36743892
Brive-la-Gaillarde,Limousin,45.15262344,1.5281408
Broons,Bretagne,48.33336399,-2.23642025
Brou,Centre,48.21711581,1.16149899
Broye,Bourgogne,46.86230041,4.29498916
Bruges,Aquitaine,44.88600487,-0.60894451
Brumath,Alsace,48.7321825,7.7003765
Brunémont,Nord Pas de Calais,50.27818316,3.14636219
Brunoy,Ile de France,48.69947292,2.50643762
Brunstatt,Alsace,47.71978781,7.3141405
Bruyères (Vosges),Lorraine,48.20493067,6.7188771
Bruyères-sur-Oise,Ile de France,49.15520307,2.32707235
Bruz,Bretagne,48.02852273,-1.75198554
Bueil,Haute-Normandie,48.92555645,1.44317177
Bugeat,Limousin,45.60046948,1.92453821
Buire-sur-l'Ancre,Picardie,49.96510083,2.59906779
Bully-Grenay,Nord Pas de Calais,50.44898398,2.73221803
Buno-Gironville,Ile de France,48.37041326,2.38655509
Busigny,Nord Pas de Calais,50.03947341,3.44589476
Bussac,Poitou-Charentes,45.21155931,-0.36803637
Busseau-sur-Creuse,Limousin,46.12309443,2.0231135
Bussière-Galant,Limousin,45.60759268,1.02607333
Buzy-en-Béarn,Aquitaine,43.148314,-0.45604208
Byans,Franche-Comté,47.1182734,5.85218533
Cadaujac,Aquitaine,44.75223368,-0.53790716
Caen,Basse-Normandie,49.17654511,-0.34826201
Caffiers,Nord Pas de Calais,50.85056706,1.81132546
Cagnes-sur-Mer,Provence-Alpes-CA,43.65714538,7.1480189
Cahors,Midi-Pyrénées,44.44915703,1.4332491
Calais-Fréthun,Nord Pas de Calais,50.90258509,1.81128551
Calais-Ville,Nord Pas de Calais,50.95343141,1.85138919
Callac,Bretagne,48.40689721,-3.4186607
Calonne-Ricouart,Nord Pas de Calais,50.48307472,2.48182879
Cambo-les-Bains,Aquitaine,43.36523452,-1.39615853
Cambrai,Nord Pas de Calais,50.17699775,3.24129305
Campagnac-St-Geniez,Midi-Pyrénées,44.42212797,3.06370209
Campagne,Languedoc-Roussillon,42.9162533,2.20427481
Cannes,Provence-Alpes-CA,43.55416411,7.0186173
Cannes-la-Bocca,Provence-Alpes-CA,43.54911911,6.9857316
Cantin,Nord Pas de Calais,50.31242746,3.12169458
Cap-d'Ail,Provence-Alpes-CA,43.72072495,7.39363608
Capdenac,Midi-Pyrénées,44.57896212,2.07708652
Cap-Martin-Roquebrune,Provence-Alpes-CA,43.76044654,7.4572325
Capvern,Midi-Pyrénées,43.10357735,0.32954014
Carantilly-Marigny,Basse-Normandie,49.06778827,-1.2461819
Carbonne,Midi-Pyrénées,43.29837747,1.21240733
Carcassonne,Languedoc-Roussillon,43.21816508,2.35242959
Carentan,Basse-Normandie,49.30181134,-1.24208898
Carhaix,Bretagne,48.27598173,-3.56394621
Carignan,Champagne-Ardenne,49.62852308,5.16846882
Carmaux,Midi-Pyrénées,44.04860638,2.15198822
Carnoët-Locarn,Bretagne,48.34029597,-3.49070477
Carnolès,Provence-Alpes-CA,43.7612419,7.48090191
Carnoules,Provence-Alpes-CA,43.29745601,6.18703455
Carry-le-Rouet,Provence-Alpes-CA,43.33683518,5.15411648
Casino-Lacroix-Laval,Rhône-Alpes,45.7884314,4.72980625
